,DATE,Close
0,2019-12-31,73.41
1,2020-01-01,73.41
2,2020-01-02,75.09
3,2020-01-03,74.36
4,2020-01-04,74.36
5,2020-01-05,74.36
6,2020-01-06,74.95
7,2020-01-07,74.6
8,2020-01-08,75.8
9,2020-01-09,77.41
10,2020-01-10,77.58
11,2020-01-11,77.58
12,2020-01-12,77.58
13,2020-01-13,79.24
14,2020-01-14,78.17
15,2020-01-15,77.84
16,2020-01-16,78.81
17,2020-01-17,79.68
18,2020-01-18,79.68
19,2020-01-19,79.68
20,2020-01-20,79.68
21,2020-01-21,79.14
22,2020-01-22,79.43
23,2020-01-23,79.81
24,2020-01-24,79.58
25,2020-01-25,79.58
26,2020-01-26,79.58
27,2020-01-27,77.24
28,2020-01-28,79.42
29,2020-01-29,81.09
30,2020-01-30,80.97
31,2020-01-31,77.38
32,2020-02-01,77.38
33,2020-02-02,77.38
34,2020-02-03,77.17
35,2020-02-04,79.71
36,2020-02-05,80.36
37,2020-02-06,81.3
38,2020-02-07,80.01
39,2020-02-08,80.01
40,2020-02-09,80.01
41,2020-02-10,80.39
42,2020-02-11,79.9
43,2020-02-12,81.8
44,2020-02-13,81.22
45,2020-02-14,81.24
46,2020-02-15,81.24
47,2020-02-16,81.24
48,2020-02-17,81.24
49,2020-02-18,79.75
50,2020-02-19,80.91
51,2020-02-20,80.08
52,2020-02-21,78.26
53,2020-02-22,78.26
54,2020-02-23,78.26
55,2020-02-24,74.55
56,2020-02-25,72.02
57,2020-02-26,73.16
58,2020-02-27,68.38
59,2020-02-28,68.34
60,2020-02-29,68.34
61,2020-03-01,68.34
62,2020-03-02,74.7
63,2020-03-03,72.33
64,2020-03-04,75.69
65,2020-03-05,73.23
66,2020-03-06,72.26
67,2020-03-07,72.26
68,2020-03-08,72.26
69,2020-03-09,66.54
70,2020-03-10,71.34
71,2020-03-11,68.86
72,2020-03-12,62.06
73,2020-03-13,69.49
74,2020-03-14,69.49
75,2020-03-15,69.49
76,2020-03-16,60.55
77,2020-03-17,63.22
78,2020-03-18,61.67
79,2020-03-19,61.2
80,2020-03-20,57.31
81,2020-03-21,57.31
82,2020-03-22,57.31
83,2020-03-23,56.09
84,2020-03-24,61.72
85,2020-03-25,61.38
86,2020-03-26,64.61
87,2020-03-27,61.94
88,2020-03-28,61.94
89,2020-03-29,61.94
90,2020-03-30,63.7
91,2020-03-31,63.57
92,2020-04-01,60.23
93,2020-04-02,61.23
94,2020-04-03,60.35
95,2020-04-04,60.35
96,2020-04-05,60.35
97,2020-04-06,65.62
98,2020-04-07,64.86
99,2020-04-08,66.52
100,2020-04-09,67.0
101,2020-04-10,67.0
102,2020-04-11,67.0
103,2020-04-12,67.0
104,2020-04-13,68.31
105,2020-04-14,71.76
106,2020-04-15,71.11
107,2020-04-16,71.67
108,2020-04-17,70.7
109,2020-04-18,70.7
110,2020-04-19,70.7
111,2020-04-20,69.23
112,2020-04-21,67.09
113,2020-04-22,69.03
114,2020-04-23,68.76
115,2020-04-24,70.74
116,2020-04-25,70.74
117,2020-04-26,70.74
118,2020-04-27,70.79
119,2020-04-28,69.65
120,2020-04-29,71.93
121,2020-04-30,73.45
122,2020-05-01,72.27
123,2020-05-02,72.27
124,2020-05-03,72.27
125,2020-05-04,73.29
126,2020-05-05,74.39
127,2020-05-06,75.16
128,2020-05-07,75.94
129,2020-05-08,77.53
130,2020-05-09,77.53
131,2020-05-10,77.53
132,2020-05-11,78.75
133,2020-05-12,77.85
134,2020-05-13,76.91
135,2020-05-14,77.39
136,2020-05-15,76.93
137,2020-05-16,76.93
138,2020-05-17,76.93
139,2020-05-18,78.74
140,2020-05-19,78.29
141,2020-05-20,79.81
142,2020-05-21,79.21
143,2020-05-22,79.72
144,2020-05-23,79.72
145,2020-05-24,79.72
146,2020-05-25,79.72
147,2020-05-26,79.18
148,2020-05-27,79.53
149,2020-05-28,79.56
