Date,Open,High,Low,Close,Volume
12/31/2019,72.48,73.42,72.38,73.41,"100,990,524"
01/02/2020,74.06,75.15,73.8,75.09,"135,647,436"
01/03/2020,74.29,75.15,74.13,74.36,"146,535,516"
01/06/2020,73.45,74.99,73.19,74.95,"118,578,564"
01/07/2020,74.96,75.23,74.37,74.6,"111,510,640"
01/08/2020,74.29,76.11,74.29,75.8,"132,363,796"
01/09/2020,76.81,77.61,76.55,77.41,"170,486,156"
01/10/2020,77.65,78.17,77.06,77.58,"140,869,092"
01/13/2020,77.91,79.27,77.79,79.24,"122,086,884"
01/14/2020,79.18,79.39,78.04,78.17,"162,613,844"
01/15/2020,77.96,78.88,77.39,77.84,"121,923,524"
01/16/2020,78.4,78.93,78.02,78.81,"108,829,000"
01/17/2020,79.07,79.69,78.75,79.68,"137,816,484"
01/21/2020,79.3,79.76,79.0,79.14,"110,843,244"
01/22/2020,79.65,80.0,79.33,79.43,"101,832,476"
01/23/2020,79.48,79.89,78.91,79.81,"104,471,960"
01/24/2020,80.06,80.83,79.38,79.58,"146,537,516"
01/27/2020,77.52,77.94,76.22,77.24,"161,940,032"
01/28/2020,78.15,79.6,78.05,79.42,"162,233,952"
01/29/2020,81.11,81.96,80.35,81.09,"216,599,720"
01/30/2020,80.14,81.02,79.69,80.97,"126,743,244"
01/31/2020,80.23,80.67,77.07,77.38,"199,588,408"
02/03/2020,76.08,78.37,75.56,77.17,"173,985,592"
02/04/2020,78.83,79.91,78.41,79.71,"136,616,516"
02/05/2020,80.88,81.19,79.74,80.36,"118,826,884"
02/06/2020,80.64,81.31,80.07,81.3,"105,425,564"
02/07/2020,80.59,80.85,79.5,80.01,"117,684,040"
02/10/2020,78.55,80.39,78.46,80.39,"109,348,884"
02/11/2020,80.9,80.98,79.68,79.9,"94,323,116"
02/12/2020,80.37,81.81,80.37,81.8,"113,730,280"
02/13/2020,81.05,81.56,80.84,81.22,"94,747,564"
02/14/2020,81.19,81.5,80.71,81.24,"80,113,796"
02/18/2020,78.84,79.94,78.65,79.75,"152,762,204"
02/19/2020,80.0,81.14,80.0,80.91,"93,983,960"
02/20/2020,80.66,81.16,79.55,80.08,"100,565,960"
02/21/2020,79.66,80.11,77.63,78.26,"129,705,680"
02/24/2020,74.32,76.05,72.31,74.55,"222,195,328"
02/25/2020,75.24,75.63,71.53,72.02,"230,673,436"
02/26/2020,71.63,74.47,71.63,73.16,"198,713,736"
02/27/2020,70.28,71.5,68.24,68.38,"320,605,500"
02/28/2020,64.32,69.6,64.09,68.34,"426,884,812"
03/02/2020,70.57,75.36,69.43,74.7,"341,397,376"
03/03/2020,75.92,76.0,71.45,72.33,"319,475,408"
03/04/2020,74.11,75.85,73.28,75.69,"219,178,264"
03/05/2020,73.88,74.89,72.85,73.23,"187,572,876"
03/06/2020,70.5,72.71,70.31,72.26,"226,176,984"
03/09/2020,65.94,69.52,65.75,66.54,"286,744,844"
03/10/2020,69.29,71.61,67.34,71.34,"285,290,092"
03/11/2020,69.35,70.31,67.97,68.86,"256,379,876"
03/12/2020,63.99,67.5,62.0,62.06,"418,473,968"
03/13/2020,66.22,69.98,63.24,69.49,"370,732,124"
03/16/2020,60.49,64.77,60.0,60.55,"322,423,500"
03/17/2020,61.88,64.4,59.6,63.22,"324,055,876"
03/18/2020,59.94,62.5,59.28,61.67,"300,233,624"
03/19/2020,61.85,63.21,60.65,61.2,"271,857,032"
03/20/2020,61.8,62.96,57.0,57.31,"401,693,188"
03/23/2020,57.02,57.12,53.15,56.09,"336,752,844"
03/24/2020,59.09,61.92,58.58,61.72,"287,531,064"
03/25/2020,62.69,64.56,61.08,61.38,"303,602,064"
03/26/2020,61.63,64.67,61.59,64.61,"252,560,672"
03/27/2020,63.19,63.97,61.76,61.94,"204,216,608"
03/30/2020,62.69,63.88,62.35,63.7,"167,976,452"
03/31/2020,63.9,65.62,63.0,63.57,"197,002,000"
04/01/2020,61.63,62.18,59.78,60.23,"176,218,564"
04/02/2020,60.09,61.29,59.23,61.23,"165,933,952"
04/03/2020,60.7,61.43,59.74,60.35,"129,880,080"
04/06/2020,62.73,65.78,62.35,65.62,"200,337,200"
04/07/2020,67.7,67.93,64.75,64.86,"202,887,328"
04/08/2020,65.69,66.84,65.31,66.52,"168,895,280"
04/09/2020,67.18,67.52,66.18,67.0,"162,116,484"
04/13/2020,67.08,68.43,66.46,68.31,"131,022,920"
04/14/2020,70.0,72.06,69.51,71.76,"194,994,688"
04/15/2020,70.6,71.58,70.16,71.11,"131,154,564"
04/16/2020,71.85,72.05,70.59,71.67,"157,125,156"
04/17/2020,71.17,71.74,69.22,70.7,"215,249,920"
04/20/2020,69.49,70.42,69.21,69.23,"130,015,000"
04/21/2020,69.07,69.31,66.36,67.09,"180,991,548"
04/22/2020,68.4,69.48,68.05,69.03,"117,057,360"
04/23/2020,68.97,70.44,68.72,68.76,"124,814,320"
04/24/2020,69.3,70.75,69.25,70.74,"126,508,720"
04/27/2020,70.45,71.14,69.99,70.79,"117,087,564"
04/28/2020,71.27,71.46,69.55,69.65,"112,004,756"
04/29/2020,71.18,72.42,70.97,71.93,"137,280,796"
04/30/2020,72.49,73.63,72.09,73.45,"183,063,876"
05/01/2020,71.56,74.75,71.46,72.27,"240,616,720"
05/04/2020,72.29,73.42,71.58,73.29,"133,567,952"
05/05/2020,73.77,75.25,73.62,74.39,"147,751,204"
05/06/2020,75.12,75.81,74.72,75.16,"142,333,764"
05/07/2020,75.81,76.29,75.49,75.94,"115,215,040"
05/08/2020,76.41,77.59,76.07,77.53,"134,047,952"
05/11/2020,77.03,79.26,76.81,78.75,"145,946,236"
05/12/2020,79.46,79.92,77.73,77.85,"162,301,048"
05/13/2020,78.04,78.99,75.8,76.91,"200,622,564"
05/14/2020,76.13,77.45,75.38,77.39,"158,929,092"
05/15/2020,75.09,76.98,75.05,76.93,"166,348,360"
05/18/2020,78.29,79.13,77.58,78.74,"135,372,516"
05/19/2020,78.76,79.63,78.25,78.29,"101,729,564"
05/20/2020,79.17,79.88,79.05,79.81,"111,504,884"
05/21/2020,79.67,80.22,78.97,79.21,"102,688,844"
05/22/2020,78.94,79.81,78.84,79.72,"81,803,000"
05/26/2020,80.88,81.06,79.13,79.18,"125,521,796"
05/27/2020,79.04,79.68,78.27,79.53,"112,945,080"
05/28/2020,79.19,80.86,78.91,79.56,"133,796,408"
05/29/2020,79.81,80.29,79.12,79.49,"153,598,108"
06/01/2020,79.44,80.59,79.3,80.46,"81,018,600"
06/02/2020,80.19,80.86,79.73,80.84,"87,642,796"
06/03/2020,81.17,81.55,80.58,81.28,"104,491,204"
06/04/2020,81.1,81.41,80.2,80.58,"87,560,360"
06/05/2020,80.84,82.94,80.81,82.88,"137,250,204"
06/08/2020,82.56,83.4,81.83,83.37,"95,654,524"
06/09/2020,83.04,86.4,83.0,86.0,"147,712,360"
06/10/2020,86.98,88.69,86.52,88.21,"166,651,764"
06/11/2020,87.33,87.77,83.87,83.98,"201,662,436"
06/12/2020,86.18,86.95,83.56,84.7,"200,146,048"
06/15/2020,83.31,86.42,83.15,85.75,"138,808,920"
06/16/2020,87.87,88.3,86.18,88.02,"165,428,720"
06/17/2020,88.79,88.85,87.77,87.9,"114,406,524"
06/18/2020,87.85,88.36,87.31,87.93,"96,820,400"
06/19/2020,88.66,89.14,86.29,87.43,"264,475,812"
06/22/2020,87.84,89.87,87.79,89.72,"135,445,280"
06/23/2020,91.0,93.1,90.57,91.63,"212,155,484"
06/24/2020,91.25,92.2,89.63,90.02,"192,623,392"
06/25/2020,90.18,91.25,89.39,91.21,"137,522,532"
06/26/2020,91.1,91.33,88.26,88.41,"205,256,828"
06/29/2020,88.31,90.54,87.82,90.45,"130,646,080"
06/30/2020,90.02,91.5,90.0,91.2,"140,223,280"
07/01/2020,91.28,91.84,90.98,91.03,"110,737,244"
07/02/2020,91.96,92.62,90.91,91.03,"114,041,476"
07/06/2020,92.5,93.95,92.47,93.46,"118,655,640"
07/07/2020,93.85,94.66,93.06,93.17,"112,424,436"
07/08/2020,94.18,95.38,94.09,95.34,"117,091,884"
07/09/2020,96.26,96.32,94.67,95.68,"125,642,600"
07/10/2020,95.34,95.98,94.71,95.92,"90,257,320"
07/13/2020,97.27,99.96,95.26,95.48,"191,649,156"
07/14/2020,94.84,97.26,93.88,97.06,"170,989,360"
07/15/2020,98.99,99.25,96.49,97.73,"153,197,920"
07/16/2020,96.56,97.41,95.91,96.52,"110,577,680"
07/17/2020,96.99,97.15,95.84,96.33,"92,186,920"
