,created_at,CleanS
0,2019-12-31,0.6129032258064516
1,2020-01-01,0.5631067961165048
2,2020-01-02,0.5042321644498187
3,2020-01-03,0.2453509298140372
4,2020-01-04,0.33624454148471616
5,2020-01-05,0.21705426356589147
6,2020-01-06,0.36674259681093396
7,2020-01-07,0.32595325953259535
8,2020-01-08,0.45038167938931295
9,2020-01-09,0.4914134742404227
10,2020-01-10,0.36992840095465396
11,2020-01-11,0.41935483870967744
12,2020-01-12,0.3826086956521739
13,2020-01-13,0.47002606429192006
14,2020-01-14,0.2838018741633199
15,2020-01-15,0.3008356545961003
16,2020-01-16,0.3979328165374677
17,2020-01-17,0.5170340681362725
18,2020-01-18,0.5392156862745098
19,2020-01-19,0.44871794871794873
20,2020-01-20,0.5411255411255411
21,2020-01-21,0.4957410562180579
22,2020-01-22,0.5214564369310793
23,2020-01-23,0.5527950310559007
24,2020-01-24,0.34238603297769155
25,2020-01-25,0.057034220532319393
26,2020-01-26,0.2862190812720848
27,2020-01-27,0.3401885175664096
28,2020-01-28,0.39301101005265676
29,2020-01-29,0.4771748492678725
30,2020-01-30,0.31882686849574265
31,2020-01-31,0.09904622157006603
32,2020-02-01,0.10434782608695652
33,2020-02-02,0.3071593533487298
34,2020-02-03,0.20517241379310344
35,2020-02-04,0.397796817625459
36,2020-02-05,0.35748031496062993
37,2020-02-06,0.399737876802097
38,2020-02-07,0.24306326304106549
39,2020-02-08,0.09540636042402827
40,2020-02-09,0.2
41,2020-02-10,0.30597014925373134
42,2020-02-11,0.20588235294117646
43,2020-02-12,0.37708830548926014
44,2020-02-13,0.21666666666666667
45,2020-02-14,0.2676659528907923
46,2020-02-15,0.6435643564356436
47,2020-02-16,0.4666666666666667
48,2020-02-17,-0.07744107744107744
49,2020-02-18,0.18003913894324852
50,2020-02-19,0.4857142857142857
51,2020-02-20,0.129973474801061
52,2020-02-21,-0.03695881731784583
53,2020-02-22,0.1565217391304348
54,2020-02-23,0.12949640287769784
55,2020-02-24,0.03614457831325301
56,2020-02-25,0.04804804804804805
57,2020-02-26,0.022708158116063918
58,2020-02-27,-0.0006056935190793458
59,2020-02-28,0.12220488819552783
60,2020-02-29,0.029462738301559793
61,2020-03-01,-0.011538461538461539
62,2020-03-02,0.3005524861878453
63,2020-03-03,0.17861635220125785
64,2020-03-04,0.23394131641554322
65,2020-03-05,-0.021243115656963022
66,2020-03-06,-0.05754276827371695
67,2020-03-07,0.1650485436893204
68,2020-03-08,-0.0967741935483871
69,2020-03-09,-0.026878771256171146
70,2020-03-10,0.04309715120525932
71,2020-03-11,-0.0476878612716763
72,2020-03-12,-0.12815715622076707
73,2020-03-13,0.07251264755480608
74,2020-03-14,-0.11085180863477247
75,2020-03-15,-0.07048008171603677
76,2020-03-16,-0.15484515484515485
77,2020-03-17,-0.11491108071135431
78,2020-03-18,-0.0984251968503937
79,2020-03-19,-0.060259344012204424
80,2020-03-20,-0.22804718217562253
81,2020-03-21,-0.12694877505567928
82,2020-03-22,-0.13824057450628366
83,2020-03-23,0.0519159456118665
84,2020-03-24,-0.05191489361702128
85,2020-03-25,-0.08893709327548807
86,2020-03-26,-0.11038430089942763
87,2020-03-27,-0.13178294573643412
88,2020-03-28,-0.05454545454545454
89,2020-03-29,-0.09051724137931035
90,2020-03-30,0.011389521640091117
91,2020-03-31,-0.005847953216374269
92,2020-04-01,-0.11551925320886815
93,2020-04-02,-0.034482758620689655
94,2020-04-03,-0.05124450951683748
95,2020-04-04,0.24793388429752067
96,2020-04-05,0.3333333333333333
97,2020-04-06,0.26705202312138726
98,2020-04-07,0.10741971207087486
99,2020-04-08,0.061170212765957445
100,2020-04-09,0.06227967097532315
101,2020-04-10,0.1419753086419753
102,2020-04-11,0.3063583815028902
103,2020-04-12,0.20284697508896798
104,2020-04-13,0.04918032786885246
105,2020-04-14,0.16429249762583095
106,2020-04-15,0.11137162954279015
107,2020-04-16,0.2144469525959368
108,2020-04-17,0.10357583230579531
109,2020-04-18,0.39344262295081966
110,2020-04-19,0.3333333333333333
111,2020-04-20,0.10197368421052631
112,2020-04-21,0.008323424494649227
113,2020-04-22,0.18597560975609756
114,2020-04-23,0.0891891891891892
115,2020-04-24,0.18857142857142858
116,2020-04-25,0.4270833333333333
117,2020-04-26,0.22857142857142856
118,2020-04-27,0.14860681114551083
119,2020-04-28,0.21200750469043153
120,2020-04-29,0.46919431279620855
121,2020-04-30,0.10772976262933658
122,2020-05-01,0.09868796349115802
123,2020-05-02,0.2543859649122807
124,2020-05-03,0.12110726643598616
125,2020-05-04,0.3593073593073593
126,2020-05-05,0.29439252336448596
127,2020-05-06,0.17222963951935916
128,2020-05-07,0.16363636363636364
129,2020-05-08,0.2170212765957447
130,2020-05-09,0.3888888888888889
131,2020-05-10,0.36318407960199006
132,2020-05-11,0.30101465614430667
133,2020-05-12,0.05415162454873646
134,2020-05-13,-0.14088669950738916
135,2020-05-14,0.19870410367170627
136,2020-05-15,0.22967479674796748
137,2020-05-16,0.24675324675324675
138,2020-05-17,0.3302325581395349
139,2020-05-18,0.3694915254237288
140,2020-05-19,0.25754884547069273
141,2020-05-20,0.2129032258064516
142,2020-05-21,0.22821576763485477
143,2020-05-22,0.32
144,2020-05-23,0.3188405797101449
145,2020-05-24,0.2638888888888889
146,2020-05-25,0.44385026737967914
147,2020-05-26,0.3742690058479532
148,2020-05-27,0.3632286995515695
149,2020-05-28,0.2906815020862309
150,2020-05-29,0.10614525139664804
151,2020-05-30,0.3202614379084967
152,2020-05-31,0.16129032258064516
153,2020-06-01,0.23550724637681159
